feature,importance
hbb_mutation_ratio,0.10006081514634742
stop_codon_count,0.08831676564901464
regulatory_proximity,0.08646756132075703
kmer_GTG,0.08640809383715127
dinuc_AG,0.07198886403477621
dinuc_GA,0.05600915212554124
dinuc_TG,0.038664018734183014
g_content,0.03361561310623143
dinuc_TA,0.031432755296318976
purine_pyrimidine_ratio,0.02764878166617853
dinuc_GT,0.02734266475810442
sequence_entropy,0.027297675724022998
t_content,0.024150508066119583
kmer_CAC,0.022104881652458126
dinuc_AC,0.019582029594330346
dinuc_AT,0.018594735428476023
dinuc_GC,0.018386753409648612
dinuc_GG,0.018223458797083966
kmer_CCT,0.01619887327834335
a_content,0.016092257731830005
gc_content,0.014532871978305748
start_codon_count,0.01451357577632291
dinuc_TC,0.012599536476391357
kmer_GAC,0.012468060119548163
dinuc_TT,0.01185420157818482
dinuc_AA,0.011060609412946296
dinuc_CC,0.010850287385426812
cpg_islands,0.010371469195738874
kmer_GTC,0.010315486715057762
dinuc_CG,0.010109288298171584
at_content,0.009564301729393874
dinuc_CT,0.009157057230904908
dinuc_CA,0.00906789692963621
c_content,0.008355407282753653
gamma_globin_regulator_count,0.007703958841157929
gamma_globin_regulator_present,0.006940104583770492
sequence_length,0.0014635423332360123
homopolymer_runs,0.00048608477613554707
myb_motif,0.0
bcl11a_motif,0.0
hbg_promoter_count,0.0
hbg_promoter_present,0.0
beta_globin_enhancer_present,0.0
beta_globin_enhancer_count,0.0
